address,agent_name,agent_number,bath,beds,land_size,price,pricepersqft,url
"12127 Cottage Promenade Ct Austin, TX 78753 Copperfield Neighborhood",Jaclyn Houghton,(512) 269-0582,2,3,"1,582","$449,000",$284,https://www.homes.com/property/12127-cottage-promenade-ct-austin-tx/880tt9m7mp3q5/
"9301 Southwick Dr Austin, TX 78724 Hornsby Bend Neighborhood",Amy Kolb,(888) 249-4294,2,3,"1,510","$349,000",$231,https://www.homes.com/property/9301-southwick-dr-austin-tx/w3v59f60bj5fc/
"18601 Mckay Cove Austin, TX 78738 Hamilton Pool Neighborhood",Shannon Mangin,(737) 377-1658,2,3,"1,929","$589,000",$305,https://www.homes.com/property/18601-mckay-cove-austin-tx/qfndgmr9zdnzy/
"7849 Escala Dr Austin, TX 78735 Barton Creek Preserve Neighborhood",Gary Dolch,(877) 726-6085,7,5,"10,396","$8,700,000",$837,https://www.homes.com/property/7849-escala-dr-austin-tx/87vrfdl74yd57/
"4537 Ruiz St Austin, TX 78723 Mueller Neighborhood",Adelina Rotar,(865) 737-2420,2.5,3,"2,723","$1,400,000",$514,https://www.homes.com/property/4537-ruiz-st-austin-tx/3ncgkjfc25v7z/
"5305 Towser Ct Austin, TX 78744 McKinney Neighborhood",Missy  Stagers,(866) 941-2599,2.5,3,"2,170","$399,900",$184,https://www.homes.com/property/5305-towser-ct-austin-tx/p4mn4ec7yzp0b/
"18705 Waltz Ct Austin, TX 78738 Bee Cave Neighborhood",Shannon Mangin,(512) 710-0821,3,4,"2,449","$679,000",$277,https://www.homes.com/property/18705-waltz-ct-austin-tx/vqge0h7hjbrvw/
"Natiivo Austin 48 East Ave Unit 2306 Austin, TX 78701 Rainey Street Historic District Neighborhood",Denise Bodman,(855) 712-9621,1,1,740,"$619,000",$836,https://www.homes.com/property/natiivo-austin-austin-tx-unit-2306/rhjvzyryxk9x5/
"6005 Long Champ Ct Austin, TX 78746 Westlake Neighborhood",Eric Copper,(512) 980-3254,6,4,"6,398","$5,950,000",$930,https://www.homes.com/property/6005-long-champ-ct-austin-tx/qmxb9g8qnwb3y/
"3104 Dolphin Dr Austin, TX 78704 South Lamar Neighborhood",Tara McGuire,(844) 830-7278,3,3,"1,668","$799,900",$480,https://www.homes.com/property/3104-dolphin-dr-austin-tx/fb6yw5d1nzv87/
"112 Kollmeyer Cir Austin, TX 78734 Apache Shores Neighborhood",Frederic Rello,(888) 507-6921,5.5,5,"5,427","$1,850,000",$341,https://www.homes.com/property/112-kollmeyer-cir-austin-tx/8kjve8xnvqnd1/
"2813 De Soto Dr Austin, TX 78733 Lake Austin Neighborhood",Linda Welsh,(855) 946-2499,2.5,4,"2,600","$1,050,000",$404,https://www.homes.com/property/2813-de-soto-dr-austin-tx/9ybtddy4pcl5k/
"18209 Painted Horse Cove Austin, TX 78738 Hamilton Pool Neighborhood",Shannon Mangin,(512) 967-0692,3.5,4,"2,979","$700,000",$235,https://www.homes.com/property/18209-painted-horse-cove-austin-tx/23h6z7k0e2nm2/
"3350 Far View Dr Austin, TX 78730 River Place Neighborhood",Eric Copper,(512) 488-0908,,,,"$1,200,000",,https://www.homes.com/property/3350-far-view-dr-austin-tx/4x0cs10n5hwr5/
"1911 Madison Ave Austin, TX 78757 Crestview Neighborhood",Tanya Kerr,(866) 747-9243,2,3,"2,069","$1,125,000",$544,https://www.homes.com/property/1911-madison-ave-austin-tx/c3m8jzy8gxc6n/
"7811 Tisdale Dr Austin, TX 78757 Crestview Neighborhood",Michael Estes,(855) 950-4136,2,3,"1,071","$599,555",$560,https://www.homes.com/property/7811-tisdale-dr-austin-tx/gw61pqxl43p5q/
"7825 Beauregard Cir Unit 5 Austin, TX 78745 Cherry Creek Neighborhood",Guy Oberg,(844) 926-3127,--,--,"2,186","$450,000",$206,https://www.homes.com/property/7825-beauregard-cir-austin-tx-unit-5/dww4xt7heklp9/
"2827 Manor Rd Unit 1108 Austin, TX 78722 Blackland Neighborhood",Amy Brossette,(844) 387-5487,1,1,525,"$290,000",$552,https://www.homes.com/property/2827-manor-rd-austin-tx-unit-1108/jd85symvvz4hr/
"360 Nueces St Unit 2408 Austin, TX 78701 Market District Neighborhood",Tara McGuire,(855) 906-3130,1,1,732,"$549,900",$751,https://www.homes.com/property/360-nueces-st-austin-tx-unit-2408/w7h8ejmn2tvc0/
"4904 Tortuga Place Austin, TX 78731 Highland Park West Neighborhood",Gary Dolch,(512) 969-6087,6.5,6,"9,352","$26,995,000","$2,887",https://www.homes.com/property/4904-tortuga-place-austin-tx/bvm11lh455ck7/
"The Tyndall at Robertson Hill 800 Embassy Dr Unit 605 Austin, TX 78702 East Austin Neighborhood",Eric Copper,(512) 856-1360,3,3,"1,978","$1,498,000",$757,https://www.homes.com/property/the-tyndall-at-robertson-hill-austin-tx-unit-605/b2m5vy9v4rlnc/
"601 Old Stone Rd Austin, TX 78745 East Congress Neighborhood",Sandra Maguire,(737) 215-4276,2,4,"2,400","$950,000",$396,https://www.homes.com/property/601-old-stone-rd-austin-tx/w9b1xq302ljf8/
"7809 Ancolie Dr Austin, TX 78738 Bee Cave Neighborhood",Tracy Godfrey,(855) 935-4320,4.5,4,"3,395","$898,000",$265,https://www.homes.com/property/7809-ancolie-dr-austin-tx/kdwkz1p64c5zb/
"10609 Marshitahs Way Austin, TX 78748 Slaughter Creek Neighborhood",Missy  Stagers,(210) 905-9538,2,3,"1,160","$359,900",$310,https://www.homes.com/property/10609-marshitahs-way-austin-tx/24khks1cfmk40/
"811 Rutherford Place Austin, TX 78704 Travis Heights Neighborhood",William Steakley,(833) 959-1975,2.5,3,"2,135","$1,750,000",$820,https://www.homes.com/property/811-rutherford-place-austin-tx/zejdn8d540tqs/
"302 Linden St Austin, TX 78702 Govalle Neighborhood",Eric Copper,(844) 900-3488,2.5,2,"1,016","$689,000",$678,https://www.homes.com/property/302-linden-st-austin-tx/1ynw72d6nbb4j/
"11100 Twisted Elm Dr Austin, TX 78726 Four Points Neighborhood",Amy Brossette,(512) 580-9405,4,4,"2,927","$785,000",$268,https://www.homes.com/property/11100-twisted-elm-dr-austin-tx/fsfcf58dpw7k5/
"7100 Magenta Ln Austin, TX 78739 Circle C Ranch Neighborhood",Tara McGuire,(844) 966-2490,3.5,5,"3,672","$1,099,900",$300,https://www.homes.com/property/7100-magenta-ln-austin-tx/qwct6g2t6v98y/
"11301 Eubank Dr Austin, TX 78758 Walnut Creek Park Neighborhood",Adelina Rotar,(865) 290-1888,2,4,"2,193","$699,000",$319,https://www.homes.com/property/11301-eubank-dr-austin-tx/wf7lw1r8gdj16/
"5908 Paseo Del Toro Austin, TX 78731 Northwest Hills Neighborhood",Stefan Benteler,(855) 960-4813,2,3,"1,892","$950,000",$502,https://www.homes.com/property/5908-paseo-del-toro-austin-tx/mk6zws8hkcpkd/
"4301 Columbine Dr Austin, TX 78727 McNeil Neighborhood",Ray Mungia,(833) 687-1903,2,3,"2,086","$625,000",$300,https://www.homes.com/property/4301-columbine-dr-austin-tx/rmrtv7wssx3l5/
"1808 Tartar Way Austin, TX 78733 Lake Austin Neighborhood",Ryan Smith,(844) 625-1156,,,,"$399,999",,https://www.homes.com/property/1808-tartar-way-austin-tx/wfszt8wmh6tx4/
"4704 Toreador Dr Austin, TX 78746 Westlake Neighborhood",David Bain,(866) 938-4157,2.5,3,"3,988","$3,249,000",$815,https://www.homes.com/property/4704-toreador-dr-austin-tx/0cwsj6hk3tsl2/
"1701 E Martin Luther King jr Blvd Unit 208 Austin, TX 78702 East Austin Neighborhood",Georgia Spiropoulos,(877) 715-0875,1,1,630,"$395,000",$627,https://www.homes.com/property/1701-e-martin-luther-king-jr-blvd-austin-tx-unit-208/kfg22b3bd222b/
"11005 Furrow Hill Dr Austin, TX 78754 Parmer Lane Neighborhood",Missy  Stagers,(726) 268-1877,2,3,"1,646","$369,900",$225,https://www.homes.com/property/11005-furrow-hill-dr-austin-tx/96s12rg0nj29x/
"252 Galloway Ln Austin, TX 78737 Dripping Springs Neighborhood",Heather Jones,(877) 749-6581,5,4,"3,608","$1,150,000",$319,https://www.homes.com/property/252-galloway-ln-austin-tx/s3yf4xjgds60v/
"9 Inwood Cir Austin, TX 78746 Rollingwood Neighborhood",David Bain,(833) 719-4778,4,5,"4,128","$3,325,000",$805,https://www.homes.com/property/9-inwood-cir-austin-tx/rd86ndxbhe21c/
"12708 Lipizzan Ct Austin, TX 78732 Steiner Ranch Neighborhood",Craig Smyser,(877) 398-9219,4,6,"3,641","$1,099,000",$302,https://www.homes.com/property/12708-lipizzan-ct-austin-tx/vel761c8cygel/
"2827 Manor Rd Unit 2201 Austin, TX 78722 Blackland Neighborhood",Adelina Rotar,(865) 978-6354,1,1,505,"$260,000",$515,https://www.homes.com/property/2827-manor-rd-austin-tx-unit-2201/xqn6exembwq3w/
"1122 Hollow Creek Dr Unit 2 Austin, TX 78704 Barton Hills Neighborhood",Karlyn Ellis,(855) 641-5610,1.5,2,989,"$590,000",$597,https://www.homes.com/property/1122-hollow-creek-dr-austin-tx-unit-2/8b5snsm5qb8d4/
"2203 Ohlen Rd Austin, TX 78757 Wooten Neighborhood",Michael Estes,(844) 983-2094,,,,"$499,555",,https://www.homes.com/property/2203-ohlen-rd-austin-tx/kvtyb38xsq2zc/
"15150 Fitzhugh Rd Austin, TX 78736 Bear Creek-Cedar Valley Neighborhood",Gary Dolch,(844) 820-4498,,,,"$1,560,000",,https://www.homes.com/property/15150-fitzhugh-rd-austin-tx/r6hh3llpkrkz8/?l=ryw9jky4f4cx5
"12400 Cedar St Austin, TX 78732 Comanche Trail Neighborhood",Gary Dolch,(877) 815-3460,13,6,"15,394","$19,500,000","$1,267",https://www.homes.com/property/12400-cedar-st-austin-tx/243b7rytez8wc/?l=977gh0kylqzzx
"15150 Fitzhugh Rd Austin, TX 78736 Bear Creek-Cedar Valley Neighborhood",Gary Dolch,(888) 291-8852,,,,"$1,200,000",,https://www.homes.com/property/15150-fitzhugh-rd-austin-tx/r6hh3llpkrkz8/?l=eqxy6ekzbgdxv
"16000 Cool Breeze Cove Austin, TX 78738 Hamilton Pool Neighborhood",Tracy Godfrey,(855) 683-0988,,,,"$850,000",,https://www.homes.com/property/16000-cool-breeze-cove-austin-tx/gw5r93hwmq6xw/
"5009 Timothy Cir Austin, TX 78734 Hudson Bend Neighborhood",Ellen Steele ,(844) 950-4419,4.5,4,"2,879","$935,000",$325,https://www.homes.com/property/5009-timothy-cir-austin-tx/8djrwjczykpz8/
"8121 Spiro Trail Austin, TX 78738 Bee Cave Neighborhood",Gary Dolch,(855) 793-2494,,,,"$2,750,000",,https://www.homes.com/property/8121-spiro-trail-austin-tx/xrxydlljeg5mt/?l=pl87ws5pzlw03
"Zilkr On The Park 1900 Barton Springs Rd Unit 4023 Austin, TX 78704 Zilker Neighborhood",Tracy Dombek,(512) 813-0936,1,1,698,"$435,000",$623,https://www.homes.com/property/zilkr-on-the-park-austin-tx-unit-4023/z8h799ll14vzs/
"6210 Mountain Shadows Dr Austin, TX 78735 West Oak Hill Neighborhood",Stefan Benteler,(844) 689-0408,2,3,"1,427","$595,000",$417,https://www.homes.com/property/6210-mountain-shadows-dr-austin-tx/ym09jpcw9j6xb/
"14145 Bear Creek Pass Austin, TX 78737 Bear Creek-Cedar Valley Neighborhood",Adelina Rotar,(865) 622-4041,7.5,10,"7,176","$5,199,900",$725,https://www.homes.com/property/14145-bear-creek-pass-austin-tx/4x53j6bm2244g/
"1107 Lambie St Austin, TX 78702 East Cesar Chavez Neighborhood",Jaclyn Houghton,(844) 407-6054,3.5,5,"2,594","$1,800,000",$694,https://www.homes.com/property/1107-lambie-st-austin-tx/bg5preerj03f7/
"1612 Miriam Ave Unit A Austin, TX 78702 Chestnut Neighborhood",Adelina Rotar,(865) 601-2021,1,2,724,"$330,000",$456,https://www.homes.com/property/1612-miriam-ave-austin-tx-unit-a/mrx6jf0kcpd10/
"18216 Flagler Dr Austin, TX 78738 Hamilton Pool Neighborhood",Gary Dolch,(844) 726-4609,7,5,"5,532","$2,950,000",$533,https://www.homes.com/property/18216-flagler-dr-austin-tx/lqkyvc6mx23xp/
"5520 Pine Place Austin, TX 78744 Franklin Park Neighborhood",Tracy Dombek,(855) 917-4600,2,3,"1,486","$489,000",$329,https://www.homes.com/property/5520-pine-place-austin-tx/7ynmqgmccl3yr/
"Fifth & West Residences 501 West Ave Unit 705 Austin, TX 78701 Market District Neighborhood",Denise Bodman,(888) 507-7199,1.5,1,"1,092","$975,000",$893,https://www.homes.com/property/fifth-west-residences-austin-tx-unit-705/0eemr9v7dehr7/
"14618 Mansfield Dam Ct Unit 35 Austin, TX 78734 Hudson Bend Neighborhood",Shailene Smith,(833) 545-2058,4,5,"3,687","$1,495,000",$405,https://www.homes.com/property/14618-mansfield-dam-ct-austin-tx-unit-35/zyjepctrzedcj/
"Vista Hills Condominiums 7701 Rialto Blvd Unit 112 Austin, TX 78735 West Oak Hill Neighborhood",Ellen Steele ,(737) 348-0330,2,2,"1,239","$405,000",$327,https://www.homes.com/property/vista-hills-condominiums-austin-tx-unit-112/zc10j4475ez5v/
"84 East Ave Unit 2206 Austin, TX 78701 Rainey Street Historic District Neighborhood",Denise Bodman,(855) 305-6386,2,2,969,"$945,000",$975,https://www.homes.com/property/84-east-ave-austin-tx-unit-2206/y8g1mhxky9cq0/
"8109 Cobblestone Austin, TX 78735 West Oak Hill Neighborhood",Schuyler Williamson,(512) 640-2775,3,4,"3,323","$850,000",$256,https://www.homes.com/property/8109-cobblestone-austin-tx/l7xl193vgxrhk/
"1401 Shawnee Cir Austin, TX 78734 Apache Shores Neighborhood",Frederic Rello,(888) 577-1830,2,4,"1,431","$335,000",$234,https://www.homes.com/property/1401-shawnee-cir-austin-tx/4es6kp8lr93b3/
"13921 Nutty Brown Rd Austin, TX 78737 Bear Creek-Cedar Valley Neighborhood",Michael Estes,(833) 793-0521,,,,"$799,990",,https://www.homes.com/property/13921-nutty-brown-rd-austin-tx/pff0px7kvbzsc/
"2502 Oestrick Ln Austin, TX 78733 Lake Austin Neighborhood",Gary Dolch,(844) 878-1277,7,5,"7,080","$11,995,000","$1,694",https://www.homes.com/property/2502-oestrick-ln-austin-tx/h3r7plh09crle/
"8121 Spiro Trail Austin, TX 78738 Bee Cave Neighborhood",Gary Dolch,(855) 672-6383,,,,"$2,795,000",,https://www.homes.com/property/8121-spiro-trail-austin-tx/xrxydlljeg5mt/?l=2d12tnzrt6ryg
"12400 Cedar St Austin, TX 78732 Comanche Trail Neighborhood",Gary Dolch,(888) 294-9138,13,6,"15,394","$19,500,000","$1,267",https://www.homes.com/property/12400-cedar-st-austin-tx/243b7rytez8wc/?l=pjsqwzx2vq7df
"5603 Oakwood Cove Unit 231 Austin, TX 78731 Highland Park West Neighborhood",Linda Welsh,(844) 470-0243,2.5,3,"2,321","$625,000",$269,https://www.homes.com/property/5603-oakwood-cove-austin-tx-unit-231/l12bn7z0dznzx/
"2708 Shire Ridge Dr Austin, TX 78732 Steiner Ranch Neighborhood",Craig Smyser,(833) 384-0908,4,5,"4,069","$1,250,000",$307,https://www.homes.com/property/2708-shire-ridge-dr-austin-tx/hj350gsrc4s65/
"12842 Hughes Park Rd Austin, TX 78732 Comanche Trail Neighborhood",Gary Dolch,(844) 633-9266,13,6,"15,394","$19,500,000","$1,267",https://www.homes.com/property/12842-hughes-park-rd-austin-tx/kw4btft41hl15/
"1716 Adina St Austin, TX 78721 East MLK Neighborhood",Jaclyn Houghton,(833) 922-1687,2.5,3,"1,874","$750,000",$400,https://www.homes.com/property/1716-adina-st-austin-tx/pepvzmltghbx6/
"2404 Arpdale St Austin, TX 78704 Barton Hills Neighborhood",Jeff Embree,(855) 653-0942,,,,"$995,000",,https://www.homes.com/property/2404-arpdale-st-austin-tx/gs2r2nq03q87q/
"613 Marly Way Austin, TX 78733 Lake Austin Neighborhood",Linda Welsh,(855) 932-3391,,,,"$1,795,000",,https://www.homes.com/property/613-marly-way-austin-tx/s4k0s2ql43k9n/
"44 East Ave , Unit 1310 Austin, TX 78701 Rainey Street Historic District Neighborhood",William Steakley,(866) 750-3989,2,2,"1,260","$1,125,000",$893,https://www.homes.com/property/44-east-ave-austin-tx-unit-1310/4627brydknl30/
"3109 Frijolita Rd Austin, TX 78730 Glenlake Neighborhood",William Steakley,(512) 764-9611,,,,"$695,000",,https://www.homes.com/property/3109-frijolita-rd-austin-tx/j7h8thynhgb7s/
"1703 W 31st St Austin, TX 78703 Bryker Woods Neighborhood",Tara McGuire,(512) 309-7273,2,3,"1,479","$1,249,900",$845,https://www.homes.com/property/1703-w-31st-st-austin-tx/yeyk0qhxkmgd0/
"1809 Sylvan Dr Austin, TX 78741 East Riverside-Oltorf Neighborhood",Jaclyn Houghton,(866) 511-4064,3,3,"1,985","$1,290,000",$650,https://www.homes.com/property/1809-sylvan-dr-austin-tx/wdyw1jlh21rz5/
"3500 Georgia Lee Dr Austin, TX 78704 Dawson Neighborhood",Cederick Harris,(737) 241-4092,2.5,2,"1,490","$684,900",$460,https://www.homes.com/property/3500-georgia-lee-dr-austin-tx/45btd8lnjyb31/
"4811 Oldfort Hill Dr Austin, TX 78723 East MLK Neighborhood",Jaclyn Houghton,(833) 948-1731,3.5,4,"2,958","$999,000",$338,https://www.homes.com/property/4811-oldfort-hill-dr-austin-tx/sps60cbw0jgjs/
"Axiom East 2220 Webberville Rd Unit 402 Austin, TX 78702 East Austin Neighborhood",Adelina Rotar,(865) 500-3896,1,1,650,"$399,900",$615,https://www.homes.com/property/axiom-east-austin-tx-unit-402/mkg5f7lw26w9g/
"2701 Toro Canyon Rd Unit C Austin, TX 78746 Westlake Neighborhood",Tracy Dombek,(512) 621-7809,,,,"$1,750,000",,https://www.homes.com/property/2701-toro-canyon-rd-austin-tx-unit-c/t1q244ww25m74/
"1138 Northwestern Ave Austin, TX 78702 East Austin Neighborhood",Cederick Harris,(512) 729-3006,3,5,"1,394","$675,000",$484,https://www.homes.com/property/1138-northwestern-ave-austin-tx/03ehgs6wgjxe2/
